config d896,ff4864,seq256,L24  (median of 1 reps each)
[sweep] op 301/543 (55%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 311/543 (57%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 321/543 (59%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 331/543 (61%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 341/543 (63%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 351/543 (65%) elapsed=0.0m eta=0.0m cur=13.5GB
[sweep] op 361/543 (66%) elapsed=0.0m eta=0.0m cur=13.6GB
[sweep] op 371/543 (68%) elapsed=0.1m eta=0.0m cur=13.7GB
[sweep] op 381/543 (70%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 391/543 (72%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 401/543 (74%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 411/543 (76%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 421/543 (78%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 431/543 (79%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 441/543 (81%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 451/543 (83%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 461/543 (85%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 471/543 (87%) elapsed=0.1m eta=0.0m cur=13.6GB
[sweep] op 481/543 (89%) elapsed=0.1m eta=0.0m cur=13.7GB
[sweep] op 491/543 (90%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 501/543 (92%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 511/543 (94%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 521/543 (96%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 531/543 (98%) elapsed=0.1m eta=0.0m cur=13.5GB
[sweep] op 541/543 (100%) elapsed=0.1m eta=0.0m cur=14.7GB
[sweep] op 543/543 (100%) elapsed=0.1m eta=0.0m cur=14.7GB
[sweep] op 1/543 (0%) elapsed=0.0m eta=0.4m cur=13.5GB
[sweep] op 11/543 (2%) elapsed=0.0m eta=0.4m cur=13.5GB
[sweep] op 21/543 (4%) elapsed=0.0m eta=0.7m cur=13.5GB
