layer,submodule,rel_in,rel_out,err_in_per_resid,err_out_per_resid,abs_err_in,abs_err_out
21,self_attn.k_proj,1.393641e-02,7.638256e-03,9.552940e-04,1.576807e-03,1.618374e+00,2.715574e+00
21,self_attn.v_proj,1.393641e-02,1.379255e-02,9.552940e-04,1.069563e-03,1.618374e+00,1.774294e+00
21,self_attn.o_proj,2.932751e-02,2.723948e-02,3.492862e-04,3.944863e-04,6.141371e-01,6.919842e-01
21,post_attention_layernorm,2.531369e-01,1.477684e-02,2.532095e-01,7.269703e-04,7.171253e+02,1.229766e+00
21,mlp.gate_proj,1.477684e-02,1.182150e-02,7.269703e-04,1.565578e-03,1.229766e+00,2.634004e+00
21,mlp.up_proj,1.477684e-02,1.347865e-02,7.269703e-04,1.454983e-03,1.229766e+00,2.441650e+00
21,mlp.down_proj,1.668738e-02,1.689826e-02,5.322746e-04,6.470603e-04,8.805517e-01,1.067694e+00
21,mlp,1.477684e-02,1.689826e-02,7.269703e-04,6.470603e-04,1.229766e+00,1.067694e+00
22,input_layernorm,2.529678e-01,1.393406e-02,2.529678e-01,9.624073e-04,7.171284e+02,1.642891e+00
22,self_attn.q_proj,1.393406e-02,8.555789e-03,9.624073e-04,1.625233e-03,1.642891e+00,2.806180e+00
22,self_attn.k_proj,1.393406e-02,7.667979e-03,9.624073e-04,1.611697e-03,1.642891e+00,2.788688e+00
22,self_attn.v_proj,1.393406e-02,1.381740e-02,9.624073e-04,1.089711e-03,1.642891e+00,1.827416e+00
22,self_attn.o_proj,2.889705e-02,2.909640e-02,4.035969e-04,5.799142e-04,7.076881e-01,9.932178e-01
22,post_attention_layernorm,2.528392e-01,1.478557e-02,2.529697e-01,7.399221e-04,7.171227e+02,1.259918e+00
22,mlp.gate_proj,1.478557e-02,1.203936e-02,7.399221e-04,1.614387e-03,1.259918e+00,2.732732e+00
22,mlp.up_proj,1.478557e-02,1.360820e-02,7.399221e-04,1.486012e-03,1.259918e+00,2.508983e+00
22,mlp.down_proj,1.729744e-02,1.745795e-02,5.450792e-04,6.617196e-04,9.043801e-01,1.095521e+00
22,mlp,1.478557e-02,1.745795e-02,7.399221e-04,6.617196e-04,1.259918e+00,1.095521e+00
23,input_layernorm,2.526683e-01,1.412206e-02,2.526683e-01,1.007813e-03,7.171260e+02,1.726901e+00
23,self_attn.q_proj,1.412206e-02,8.579740e-03,1.007813e-03,1.612613e-03,1.726901e+00,2.778573e+00
23,self_attn.k_proj,1.412206e-02,7.853867e-03,1.007813e-03,1.626213e-03,1.726901e+00,2.803288e+00
23,self_attn.v_proj,1.412206e-02,1.392653e-02,1.007813e-03,1.190905e-03,1.726901e+00,2.005926e+00
23,self_attn.o_proj,3.629148e-02,3.334525e-02,3.701035e-04,4.465240e-04,6.655724e-01,8.001411e-01
23,post_attention_layernorm,2.525844e-01,1.485195e-02,2.526652e-01,7.608628e-04,7.171193e+02,1.300579e+00
23,mlp.gate_proj,1.485195e-02,1.237070e-02,7.608628e-04,1.655458e-03,1.300579e+00,2.813351e+00
23,mlp.up_proj,1.485195e-02,1.387280e-02,7.608628e-04,1.525926e-03,1.300579e+00,2.588375e+00
23,mlp.down_proj,1.812617e-02,1.841244e-02,6.053798e-04,7.385416e-04,9.864836e-01,1.197918e+00
23,mlp,1.485195e-02,1.841244e-02,7.608628e-04,7.385416e-04,1.300579e+00,1.197918e+00
24,input_layernorm,2.524079e-01,1.425308e-02,2.524079e-01,1.008016e-03,7.171236e+02,1.741759e+00
24,self_attn.q_proj,1.425308e-02,8.878750e-03,1.008016e-03,1.609675e-03,1.741759e+00,2.799044e+00
24,self_attn.k_proj,1.425308e-02,7.808597e-03,1.008016e-03,1.624256e-03,1.741759e+00,2.846891e+00
