layer,submodule,rel_in,rel_out,err_in_per_resid,err_out_per_resid,abs_err_in,abs_err_out
7,input_layernorm,5.964322e-04,1.212573e-03,5.964322e-04,7.431689e-05,1.423320e+00,1.136939e-01
7,self_attn.q_proj,1.212573e-03,7.054782e-04,7.431689e-05,1.505754e-04,1.136939e-01,2.306776e-01
7,self_attn.k_proj,1.212573e-03,6.439120e-04,7.431689e-05,1.540728e-04,1.136939e-01,2.349770e-01
7,self_attn.v_proj,1.212573e-03,1.241147e-03,7.431689e-05,6.921782e-05,1.136939e-01,1.068045e-01
7,self_attn.o_proj,2.029306e-03,2.053955e-03,1.723335e-05,1.596893e-05,2.685697e-02,2.482147e-02
7,post_attention_layernorm,6.132236e-04,1.426239e-03,6.132308e-04,4.789952e-05,1.442464e+00,7.326092e-02
7,mlp.gate_proj,1.426239e-03,1.082959e-03,4.789952e-05,1.101858e-04,7.326092e-02,1.678512e-01
7,mlp.up_proj,1.426239e-03,1.319731e-03,4.789952e-05,9.105912e-05,7.326092e-02,1.394331e-01
7,mlp.down_proj,1.780885e-03,1.844890e-03,2.095297e-05,2.542204e-05,3.197981e-02,3.858698e-02
7,mlp,1.426239e-03,1.844890e-03,4.789952e-05,2.542204e-05,7.326092e-02,3.858698e-02
8,input_layernorm,6.242482e-04,1.226269e-03,6.242482e-04,7.595065e-05,1.450460e+00,1.164555e-01
8,self_attn.q_proj,1.226269e-03,7.183583e-04,7.595065e-05,1.508556e-04,1.164555e-01,2.325872e-01
8,self_attn.k_proj,1.226269e-03,6.442361e-04,7.595065e-05,1.572635e-04,1.164555e-01,2.419163e-01
8,self_attn.v_proj,1.226269e-03,1.285403e-03,7.595065e-05,7.324420e-05,1.164555e-01,1.134322e-01
8,self_attn.o_proj,1.919257e-03,2.014003e-03,1.813874e-05,1.783217e-05,2.928356e-02,2.828219e-02
8,post_attention_layernorm,6.483148e-04,1.445909e-03,6.483401e-04,4.959104e-05,1.459844e+00,7.660962e-02
8,mlp.gate_proj,1.445909e-03,1.105159e-03,4.959104e-05,1.113688e-04,7.660962e-02,1.728112e-01
8,mlp.up_proj,1.445909e-03,1.319390e-03,4.959104e-05,9.592261e-05,7.660962e-02,1.487395e-01
